Date,Price,Open,High,Low,Volume,Chg%
May 2024,48923.55,49273.90,49607.75,48659.70,222.96M,-0.96%
Apr 2024,49396.75,47391.05,49974.75,46579.05,4.45B,4.82%
Mar 2024,47124.60,46218.00,48161.25,45828.80,3.85B,2.18%
Feb 2024,46120.90,46164.90,47363.40,44633.85,5.33B,0.27%
Jan 2024,45996.80,48203.45,48450.00,44429.00,5.52B,-4.75%
Dec 2023,48292.25,44580.15,48636.45,44531.75,4.42B,8.57%
Nov 2023,44481.75,42694.25,44764.80,42589.65,3.09B,3.82%
Oct 2023,42845.95,44561.50,44710.55,42105.40,3.78B,-3.90%
Sep 2023,44584.55,43996.10,46310.40,43830.75,5.26B,1.35%
Aug 2023,43989.15,45740.00,45782.75,43600.35,4.74B,-3.64%
Jul 2023,45651.10,44957.95,46369.50,44547.80,5.60B,2.02%
Jun 2023,44747.35,44172.05,44787.10,43345.95,3.53B,1.40%
May 2023,44128.15,43395.05,44498.60,42582.20,4.29B,2.07%
Apr 2023,43233.90,40695.80,43302.05,40535.90,3.29B,6.46%
Mar 2023,40608.65,40473.85,41671.20,38613.15,3.57B,0.84%
Feb 2023,40269.05,41115.00,42015.65,39490.50,3.80B,-0.95%
Jan 2023,40655.05,43038.25,43578.40,39419.80,4.51B,-5.42%
Dec 2022,42986.45,43512.10,44151.80,41569.45,6.37B,-0.57%
Nov 2022,43231.00,41552.40,43339.15,40819.15,5.45B,4.66%
Oct 2022,41307.90,38444.90,41530.65,37963.25,4.02B,6.93%
Sep 2022,38631.95,38806.70,41840.15,37386.35,4.42B,-2.29%
Aug 2022,39536.75,37594.15,39759.15,37249.50,3.73B,5.46%
Jul 2022,37491.40,33264.75,37754.65,33080.45,2.91B,12.17%
Jun 2022,33425.10,35358.95,35958.45,32290.55,2.87B,-5.81%
